 Starting price: $10.00
On day 1 $9.75
On day 2 $11.08
On day 3 $12.37
On day 4 $12.33
On day 5 $14.49
On day 6 $13.94
On day 7 $14.17
On day 8 $14.01
On day 9 $13.64
On day 10 $14.52
On day 11 $16.25
On day 12 $17.32
On day 13 $19.85
On day 14 $22.94
On day 15 $26.54
On day 16 $27.76
On day 17 $30.81
On day 18 $29.98
On day 19 $29.08
On day 20 $27.67
On day 21 $29.01
On day 22 $30.63
On day 23 $34.54
On day 24 $33.11
On day 25 $32.94
On day 26 $38.40
On day 27 $38.78
On day 28 $37.32
On day 29 $35.74
On day 30 $36.99
On day 31 $39.47
On day 32 $38.81
On day 33 $44.71
On day 34 $51.10
On day 35 $49.50
On day 36 $52.92
On day 37 $61.83
On day 38 $66.07
On day 39 $66.44
On day 40 $63.34
On day 41 $69.37
On day 42 $78.97
On day 43 $75.52
On day 44 $72.10
On day 45 $68.60
On day 46 $66.48
On day 47 $64.68
On day 48 $67.33
On day 49 $66.00
On day 50 $63.47
On day 51 $63.73
On day 52 $62.22
On day 53 $60.02
On day 54 $57.83
On day 55 $60.72
On day 56 $60.59
On day 57 $64.41
On day 58 $69.23
On day 59 $66.03
On day 60 $67.07
On day 61 $64.23
On day 62 $63.30
On day 63 $73.66
On day 64 $72.60
On day 65 $70.53
On day 66 $70.28
On day 67 $67.78
On day 68 $75.11
On day 69 $82.24
On day 70 $78.45
On day 71 $76.42
On day 72 $83.76
On day 73 $80.48
On day 74 $80.03
On day 75 $76.71
On day 76 $80.85
On day 77 $78.34
On day 78 $86.01
On day 79 $85.40
On day 80 $82.55
On day 81 $86.01
On day 82 $85.84
On day 83 $87.44
On day 84 $97.25
On day 85 $102.85
